frame,host_time,clock,sequence,step,base_smile,base_rest,base_pressed,base_parted,overlay_smile,overlay_rest,overlay_pressed,overlay_parted,pose_smile,pose_rest,pose_pressed,pose_parted,blink,mouth,mouth_wide,mouth_opening,speech_active,needs_timer,anomaly,notices
0,0.0000,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
1,0.0417,0.0417,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
2,0.0833,0.0833,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
3,0.1250,0.1250,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
4,0.1667,0.1667,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
5,0.2083,0.2083,greeting.warm,浅笑,0.0000,0.0000,0.0000,0.0000,0.0372,0.0000,0.0000,0.0000,0.0372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,greeting.warm#started
6,0.2500,0.2500,greeting.warm,浅笑,0.0000,0.0000,0.0000,0.0000,0.1345,0.0000,0.0000,0.0000,0.1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
7,0.2917,0.2917,greeting.warm,浅笑,0.0000,0.0000,0.0000,0.0000,0.2708,0.0000,0.0000,0.0000,0.2708,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
8,0.3333,0.3333,greeting.warm,浅笑,0.0000,0.0000,0.0000,0.0000,0.4250,0.0000,0.0000,0.0000,0.4250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
9,0.3750,0.3750,greeting.warm,浅笑,0.0000,0.0000,0.0000,0.0000,0.5757,0.0000,0.0000,0.0000,0.5757,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
10,0.4167,0.4167,greeting.warm,浅笑,0.0000,0.0000,0.0000,0.0000,0.7019,0.0000,0.0000,0.0000,0.7019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
11,0.4583,0.4583,greeting.warm,浅笑,0.0000,0.0000,0.0000,0.0000,0.7823,0.0000,0.0000,0.0000,0.7823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
12,0.5000,0.5000,greeting.warm,浅笑,0.0000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
13,0.5417,0.5417,greeting.warm,浅笑,0.0000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
14,0.5833,0.5833,greeting.warm,浅笑,0.0000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
15,0.6250,0.6250,greeting.warm,浅笑,0.0000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
16,0.6667,0.6667,greeting.warm,浅笑,0.0000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
17,0.7083,0.7083,greeting.warm,浅笑,0.0000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
18,0.7500,0.7500,greeting.warm,浅笑,0.0000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
19,0.7917,0.7917,greeting.warm,浅笑,0.0000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,,
20,0.8333,0.7917,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,greeting.warm#cancelled:presentationChanged
21,0.8750,0.8333,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
22,0.9167,0.8750,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
23,0.9583,0.9167,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
24,1.0000,0.9583,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
25,1.0417,1.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
26,1.0833,1.0417,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
27,1.1250,1.0833,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
28,1.1667,1.1250,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
29,41.2083,1.1250,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
30,41.2500,1.1667,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
31,41.2917,1.2083,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
32,41.3333,1.2500,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
33,41.3750,1.2917,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
34,41.4167,1.3333,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
35,41.4583,1.3750,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
36,41.5000,1.4167,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
37,41.5417,1.4583,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
38,41.5833,1.5000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
39,41.6250,1.5417,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,,
